Type,Title,Link,Category
Blog,Yanina Bellini Saibene,https://yabellini.netlify.app/blog/,R;Community
Blog,Jonathan Carroll,https://jcarroll.com.au/,R;Julia
Blog,Meghan Harris,https://thetidytrekker.com/blog,R
Blog,Luis D. Verde Arregoitia,https://luisdva.github.io/,R
Blog,Jack Kennedy,https://jcken95.github.io/projects.html,R;Statistics;Programming
Blog,Athanasia Mo Mowinckel,https://drmowinckels.io/blog/,R;Community
Blog,Danielle Navarro,https://blog.djnavarro.net/,R;Programming
Blog,Dan Oehm,https://gradientdescending.com/,R
Blog,Josiah Parry,https://josiahparry.com/posts/,R;Rust
Blog,Shannon Pileggi,https://www.pipinghotdata.com/blog,R
Blog,Albert Rapp,https://albert-rapp.de/,R
Blog,Nicola Rennie,https://nrennie.rbind.io/,R;Data Science
Blog,Bruno Rodrigues,https://www.brodrigues.co/blog/,R
Blog,Maëlle Salmon,https://masalmon.eu/,R
Blog,Steven Paul Sanderson II,https://www.spsanderson.com/steveondata/,R
Blog,Julia Silge,https://juliasilge.com/blog/,R;Machine Learning
Blog,Cara Thompson,https://www.cararthompson.com/posts,R;Data Visualisation
Blog,Zak Varty,https://www.zakvarty.com/,R;Data Science
Blog,Isabella Velásquez,https://ivelasq.rbind.io/,R;Python
Blog,Yihui Xie,https://yihui.org/en/,R;
Blog,Matthew B. Jané,https://matthewbjane.github.io/blog.html,Statistics;R
Blog,Crystal Lewis,https://cghlewis.com/,Data Science;R
Blog,Emily Riederer,https://www.emilyriederer.com/,Data Science
Blog,Rebecca Barter,https://rebeccabarter.com/,Python;R;Data Science
Blog,Stephen Turner,https://blog.stephenturner.us/,R;Python
Blog,Rami Krispin,https://medium.com/@rami.krispin,Time Series;Forecasting;R;Python;Data Science
Blog,Andrew Gelman,https://statmodeling.stat.columbia.edu/,Statistics;Teaching
Blog,Alberto Cairo,https://theartofinsight.substack.com/,Data Visualisation
Blog,Frank Harrell,https://www.fharrell.com/#posts,Statistics
Blog,Kieran Healy,https://kieranhealy.org/blog/,Data Visualisation;Statistics;R
Blog,Dorothy Bishop,https://deevybee.blogspot.com/,Statistics
Blog,Mine Dogucu,https://www.datapedagogy.com/,Teaching;Statistics;R
Blog,Emil Hvitfeldt,https://emilhvitfeldt.com/blog,R;Quarto
Blog,Appsilon,https://www.appsilon.com/blog,R;Python;Data Science
Blog,her data,https://www.herdata.net/mainblog,Data Science
Blog,Jumping Rivers,https://www.jumpingrivers.com/blog/,R;Python;Data Science
Blog,Posit,https://posit.co/blog/,R;Python;Data Science
Blog,rOpenSci,https://ropensci.org/blog/,R
Blog,S-Cubed,https://scubed.rbind.io/,R
Blog,ThinkR,https://rtask.thinkr.fr/blog/,R
Blog,Tidyverse,https://www.tidyverse.org/blog/,R
Blog,RoSE Network,https://www.rose-network.org/blog,Teaching;Statistics
Blog,Open Forecasting,https://openforecast.org/,Forecasting;Time Series;R
Blog,R Bloggers,https://www.r-bloggers.com/,R
Blog,Julia Bloggers,https://www.juliabloggers.com/,Julia
Blog,Mircea Zloteanu,https://mzloteanu.substack.com/,Statistics;R
Newsletter,Counting Stuff,https://www.counting-stuff.com/,Data Science
Newsletter,Data Elixir,https://dataelixir.com/,Data Science
Newsletter,Data Science Weekly,https://datascienceweekly.substack.com/,Data Science
Newsletter,Rami Krispin,https://www.linkedin.com/newsletters/rami-s-data-newsletter-7230119265956216833/,Data Science;R;Python
Newsletter,Royal Statistical Society's Data Science and AI Section,https://rssdsaisection.substack.com/,Statistics;Data Science
Newsletter,Visualizing Data,https://visualisingdata.ck.page/b9efcf751f,Data Visualisation
Newsletter,RWeekly,https://rweekly.org/,R
Book,Advanced R,https://adv-r.hadley.nz/,R
Book,An Introduction to Statistical Learning,https://www.statlearning.com/,Statistics;Machine Learning;R;Python
Book,Bayes Rules,https://www.bayesrulesbook.com/,Statistics
Book,Big Book of R,https://www.bigbookofr.com/,R
Book,Building reproducible analytical pipelines (RAP) with R,https://raps-with-r.dev/,R
Book,Data Management in Large-Scale Education Research,https://datamgmtinedresearch.com/,Data Science
Book,Data Visualization with Plotnine,https://f0nzie.github.io/rmarkdown-python-plotnine/,Data Visualisation;Python
Book,Data Science in Education Using R,https://datascienceineducation.com/,Teaching;R;Data Science
Book,Data Science at the Command Line,https://jeroenjanssens.com/dsatcl/,Data Science;Programming
Book,Deep Learning and Scientific Computing with R torch,https://skeydan.github.io/Deep-Learning-and-Scientific-Computing-with-R-torch/,R;Machine Learning
Book,Efficient Machine Learning with R,https://emlwr.org/,R;Machine Learning
Book,Efficient R programming,https://csgillespie.github.io/efficientR/,R
Book,Engineering Production-Grade Shiny Apps,https://engineering-shiny.org/,R;Shiny
Book,The Epidemiologist R Handbook,https://epirhandbook.com/,R
Book,Exploring Complex Survey Data Analysis Using R,https://tidy-survey-r.github.io/tidy-survey-book/,R
Book,Forecasting: Principles and Practice,https://otexts.com/fpp3/,R;Forecasting;Time Series
Book,Forecasting and Analytics with the Augmented Dynamic Adaptive Model (ADAM),https://openforecast.org/adam/,Forecasting;Time Series;R
Book,Fundamentals of Data Visualization,https://clauswilke.com/dataviz/,Data Visualisation
Book,ggiraph Book,https://www.ardata.fr/ggiraph-book/,Data Visualisation;R
Book,ggplot2: Elegant Graphics for Data Analysis,https://ggplot2-book.org/,Data Visualisation;R
Book,ggplot2 extended,https://ggplot2-extended-book.com/,R;Data Visualisation
Book,Geocomputation with R,https://r.geocompx.org/,R
Book,Geospatial Health Data: Modeling and Visualization with R-INLA and Shiny,https://www.paulamoraga.com/book-geospatial/,R;Statistics;Shiny
Book,Happy Git with R,https://happygitwithr.com/,R;Git
Book,HTTP testing in R,https://books.ropensci.org/http-testing/index.html,R;Programming
Book,JavaScript for Data Science,https://third-bit.com/js4ds/,JavaScript;Data Science
Book,JavaScript for R,https://book.javascript-for-r.com/,JavaScript;R
Book,Mastering Shiny,https://mastering-shiny.org/,R;Shiny
Book,Python for Data Analysis,https://wesmckinney.com/book/,Python
Book,Python for Data Science,https://aeturrell.github.io/python4DS/welcome.html,Python
Book,Python Polars: The Definitive Guide,https://polarsguide.com/,Python
Book,R Cookbook,https://rc2e.com/,R
Book,R for Data Science,https://r4ds.hadley.nz/,R
Book,R for Health Data Science,https://argoshare.is.ed.ac.uk/healthyr_book/,R
Book,R for the Rest of Us: A Statistics-Free Introduction,https://book.rfortherestofus.com/,R
Book,R Graphics Cookbook,https://r-graphics.org/,R;Data Visualisation
Book,R in Production,https://r-in-production.org/,R
Book,R Packages,https://r-pkgs.org/,R
Book,R Markdown: The Definitive Guide,https://bookdown.org/yihui/rmarkdown/,R;Quarto
Book,The Rust Programming Language,https://doc.rust-lang.org/book/,Rust
Book,Scaling Up With R and Arrow,https://arrowrbook.com/,R
Book,Supervised Machine Learning for Text Analysis in R,https://smltar.com/,Machine Learning;R
Book,Spatial Statistics for Data Science: Theory and Practice with R,https://www.paulamoraga.com/book-spatial/index.html,Statistics;R
Book,Telling Stories with Data,https://tellingstorieswithdata.com/,Data Visualisation
Book,Text Mining with R,https://www.tidytextmining.com/,Machine Learning;R
Book,Think Bayes,https://allendowney.github.io/ThinkBayes2/index.html,Statistics
Book,Tidy Modelling with R,https://www.tmwr.org/,Machine Learning;R
Book,What They Forgot to Teach You About R,https://rstats.wtf/,R
Website,Best Practices for Data Visualisation,https://rss.org.uk/datavisguide/,Data Visualisation
Website,Diffify,https://diffify.com/,R;Python
Website,HDR Global,https://globalhealthdatascience.tghn.org/hub-resources/spotlight-r/,R
Website,List of R events,https://jumpingrivers.github.io/meetingsR/events.html,R;Community
Website,NHS RAP Community of Practice,https://nhsdigital.github.io/rap-community-of-practice/,R
Website,ONS Data Visualisation Manual,https://service-manual.ons.gov.uk/data-visualisation,Data Visualisation
Website,PsyTeachR,https://psyteachr.github.io/,R
Website,R for the Rest of Us,https://rfortherestofus.com/,R
Website,Significance Magazine,https://significancemagazine.com/,Statistics
Website,Tidymodels website,https://www.tidymodels.org/,Machine Learning;R
Website,The Turing Way,https://www.turing.ac.uk/research/research-projects/turing-way,Data Science
Website,Awesome Quarto,https://github.com/mcanouil/awesome-quarto,Quarto
Website,Quarto,https://quarto.org/,Quarto
